Name,Country,Time,Games,Year
usain bolt,JAM,9.81,rio 2016,2016
usain bolt,JAM,9.63,london 2012,2012
usain bolt,JAM,9.69,beijing 2008,2008
justin gatlin,USA,9.85,athens 2004,2004
maurice greene,USA,9.87,sydney 2000,2000
donovan bailey,CAN,9.84,atlanta 1996,1996
linford christie,GBR,9.96,barcelona 1992,1992
carl lewis,USA,9.92,seoul 1988,1988
carl lewis,USA,9.99,los-angeles 1984,1984
allan wells,GBR,10.25,moscow 1980,1980
hasely crawford,TTO,10.06,montreal 1976,1976
valeriy borzov,URS,10.14,munich 1972,1972
james ray hines,USA,9.90,mexico-city 1968,1968
robert hayes,USA,10.00,tokyo 1964,1964
armin hary,GER,10.20,rome 1960,1960
bobby morrow,USA,10.50,melbourne 1956,1956
lindy remigino,USA,10.40,helsinki 1952,1952
harrison dillard,USA,10.30,london 1948,1948
jesse owens,USA,10.3w,berlin 1936,1936
eddie tolan,USA,10.30,los-angeles 1932,1932
percy williams,CAN,10.80,amsterdam 1928,1928
harold abrahams,GBR,10.60,paris 1924,1924
charles paddock,USA,10.80,antwerp 1920,1920
ralph craig,USA,10.80,stockholm 1912,1912
reggie walker,RSA,10.80,london 1908,1908
archie hahn,USA,11.00,st-louis 1904,1904
francis jarvis,USA,11.00,paris 1900,1900
thomas burke,USA,12.00,athens 1896,1896
